created_at,sportsbook,sport,league,event_name,event_start_date,market_name,bet_name,odds,clv,stake,potential_payout,status,bet_type,bet_profit,notes,is_live_bet,is_free_bet,is_odds_boost,percentage,market_width,saved_filter_name,parlay_id
"04/05/2023, 23:59 EDT",WynnBET,mma,UFC,Israel Adesanya vs Alex Pereira,"04/08/2023, 23:20 EDT",Total Rounds,Over 4.5,120.0,119.0,45.0,99.0,pending,positive_ev,0.0,,False,False,False,2.23,19,8 bookies only,
"04/06/2023, 00:04 EDT",Barstool,tennis,ATP,Hubert Hurkacz vs Bernabe Zapata Miralles,"04/06/2023, 12:00 EDT",Moneyline,Bernabe Zapata Miralles,215.0,216.0,5.08,16.0,pending,positive_ev,0.0,,False,False,False,3.93,23,8 bookies only,
"04/06/2023, 00:05 EDT",BetMGM,basketball,Euroleague,Zalgiris vs Maccabi Playtika Tel Aviv,"04/06/2023, 13:00 EDT",1st Half Total Points,Over 80.5,105.0,103.0,45.0,92.25,pending,positive_ev,0.0,,False,False,False,1.8,14,8 bookies only,
"04/06/2023, 00:06 EDT",FanDuel,soccer,Italy - Serie A,Napoli vs Hellas Verona,"04/15/2023, 12:00 EDT",Total Goals,Under 1.5,330.0,290.0,40.0,172.0,pending,positive_ev,0.0,,False,False,False,5.43,99,,
"04/06/2023, 00:07 EDT",Barstool,mma,UFC,Luana Pinheiro vs Michelle Waterson,"04/08/2023, 20:40 EDT",Total Rounds,Under 2.5,280.0,256.0,3.9,14.82,pending,positive_ev,0.0,,False,False,False,4.05,65,,
"04/06/2023, 00:08 EDT",BetMGM,mma,UFC,Christian Rodriguez vs Raul Rosas,"04/08/2023, 22:00 EDT",Moneyline,Christian Rodriguez,220.0,221.0,9.92,31.74,pending,positive_ev,0.0,,False,False,False,3.41,38,,
"04/06/2023, 00:09 EDT",Barstool,soccer,England - Premier League,Chelsea vs Brighton & Hove Albion,"04/15/2023, 10:00 EDT",Total Goals,Under 1.5,280.0,257.0,19.53,74.21,pending,positive_ev,0.0,,False,False,False,4.56,81,,
"04/06/2023, 00:10 EDT",BetMGM,basketball,Euroleague,Zalgiris vs Maccabi Playtika Tel Aviv,"04/06/2023, 13:00 EDT",Point Spread,Maccabi Playtika Tel Aviv +5.5,-135.0,-141.0,35.0,60.93,pending,positive_ev,0.0,,False,False,False,1.06,20,,
"04/06/2023, 00:11 EDT",PointsBet (Indiana),baseball,MLB,San Diego Padres vs Atlanta Braves,"04/06/2023, 19:20 EDT",Run Line,Atlanta Braves -2.5,220.0,207.0,2.0,6.4,pending,positive_ev,0.0,,False,False,False,2.56,40,,
"04/06/2023, 00:12 EDT",BetMGM,hockey,NHL,Los Angeles Kings vs Vegas Golden Knights,"04/06/2023, 22:00 EDT",Total Goals,Over 6.5,125.0,119.0,30.0,67.5,pending,positive_ev,0.0,,False,False,False,1.44,18,,
"04/06/2023, 00:13 EDT",BetMGM,hockey,NHL,Los Angeles Kings vs Vegas Golden Knights,"04/06/2023, 22:00 EDT",1st Period Total Goals,Over 1.5,-120.0,-118.0,9.83,18.02,pending,positive_ev,0.0,,False,False,False,1.22,20,,
"04/06/2023, 00:14 EDT",Barstool,soccer,Italy - Serie A,AC Milan vs Empoli,"04/07/2023, 15:00 EDT",Total Goals,Over 3.5,205.0,193.0,26.68,81.37,pending,positive_ev,0.0,,False,False,False,2.65,34,,
"04/06/2023, 00:15 EDT",FanDuel,soccer,England - Premier League,Manchester City vs Leicester City,"04/15/2023, 12:30 EDT",Total Goals,Over 4.5,235.0,225.0,30.0,100.5,pending,positive_ev,0.0,,False,False,False,3.05,73,,
"04/06/2023, 00:17 EDT",Barstool,soccer,UEFA - Champions League,Real Madrid vs Chelsea,"04/12/2023, 15:00 EDT",Total Goals,Under 1.5,270.0,268.0,20.25,74.93,pending,positive_ev,0.0,,False,False,False,2.9,80,,
"04/06/2023, 00:18 EDT",FanDuel,baseball,MLB,San Francisco Giants vs Chicago White Sox,"04/06/2023, 14:10 EDT",Total Runs,Over 9.5,190.0,163.0,40.0,116.0,pending,positive_ev,0.0,,False,False,False,5.52,23,Worth Time,
"04/06/2023, 00:19 EDT",FanDuel,baseball,MLB,San Francisco Giants vs Chicago White Sox,"04/06/2023, 14:10 EDT",Total Runs,Over 11.5,390.0,360.0,10.0,49.0,pending,positive_ev,0.0,,False,False,False,12.12,101,Worth Time,
"04/06/2023, 00:20 EDT",Barstool,soccer,Italy - Serie A,Bologna vs AC Milan,"04/15/2023, 09:00 EDT",Total Goals,Under 1.5,220.0,207.0,24.86,79.55,pending,positive_ev,0.0,,False,False,False,2.72,58,,
"04/06/2023, 00:22 EDT",Hard Rock,baseball,MLB,San Francisco Giants vs Chicago White Sox,"04/06/2023, 14:10 EDT",Total Runs,Over 7.5,-110.0,-132.0,20.0,38.18,pending,positive_ev,0.0,,False,False,False,3.8,15,8 bookies only,
"04/06/2023, 00:29 EDT",Barstool,soccer,Spain - La Liga,Real Sociedad vs Getafe,"04/08/2023, 12:30 EDT",Asian Handicap,Getafe +0.5,140.0,133.0,11.72,28.13,pending,positive_ev,0.0,,False,False,False,1.94,17,,
